ref,source,artifact,generated_at_utc,registered_at_utc,destination_url,description
cv-20260916T144658237Z,cv,resume-pdf,2026-09-16T14:46:58.237Z,2026-09-16T17:35:09Z,https://leo-daher.github.io/?ref=cv-20260916T144658237Z,CV generated on 2026-09-16
ig,instagram,profile-link,,2026-09-16T17:35:09Z,https://leo-daher.github.io/ig,Instagram short link redirecting with ref=ig
in,linkedin,profile-link,,2026-09-18T11:29:06Z,https://leo-daher.github.io/in,LinkedIn short link redirecting with ref=in
cv-20260923T215453003Z,cv,resume-pdf,2026-09-23T21:54:53.003Z,2026-09-23T22:04:30Z,https://leo-daher.github.io/?ref=cv-20260923T215453003Z,CV generated on 2026-09-23
cv-20260923T215453004Z,cv,resume-pdf,2026-09-23T21:54:53.004Z,2026-09-23T22:04:30Z,https://leo-daher.github.io/?ref=cv-20260923T215453004Z,CV generated on 2026-09-23
cv-20260923T215453005Z,cv,resume-pdf,2026-09-23T21:54:53.005Z,2026-09-23T22:04:30Z,https://leo-daher.github.io/?ref=cv-20260923T215453005Z,CV generated on 2026-09-23
cv-20260923T215453006Z,cv,resume-pdf,2026-09-23T21:54:53.006Z,2026-09-23T22:04:30Z,https://leo-daher.github.io/?ref=cv-20260923T215453006Z,CV generated on 2026-09-23
cv-20260923T215453007Z,cv,resume-pdf,2026-09-23T21:54:53.007Z,2026-09-23T22:04:30Z,https://leo-daher.github.io/?ref=cv-20260923T215453007Z,CV generated on 2026-09-23
cv-20260923T221230700Z,cv,resume-pdf,2026-09-23T22:12:30.700Z,2026-09-23T22:15:32Z,https://leo-daher.github.io/?ref=cv-20260923T221230700Z,CV generated on 2026-09-23
cv-20260923T221230701Z,cv,resume-pdf,2026-09-23T22:12:30.701Z,2026-09-23T22:15:32Z,https://leo-daher.github.io/?ref=cv-20260923T221230701Z,CV generated on 2026-09-23
cv-20260923T221230702Z,cv,resume-pdf,2026-09-23T22:12:30.702Z,2026-09-23T22:15:32Z,https://leo-daher.github.io/?ref=cv-20260923T221230702Z,CV generated on 2026-09-23
cv-20260923T221230703Z,cv,resume-pdf,2026-09-23T22:12:30.703Z,2026-09-23T22:15:32Z,https://leo-daher.github.io/?ref=cv-20260923T221230703Z,CV generated on 2026-09-23
cv-20260923T221230704Z,cv,resume-pdf,2026-09-23T22:12:30.704Z,2026-09-23T22:15:32Z,https://leo-daher.github.io/?ref=cv-20260923T221230704Z,CV generated on 2026-09-23
